	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11	Y12	Y13	Y14	Y15	SRR1646026	SRR1646027	SRR1646028	SRR1646029	SRR1646034	SRR1646035	SRR1646036	SRR1646037	SM01	SM02	SM03	SM05	SM11	SM18	SM20	SM23	SM24	SM25	SM28	SM29	SM30	SM31	SM32	SM33	SM34	SM37	SM39	SM40	SM41	SM42	SM43	SM44	HC02	HC07	HC09	HC11	HC12	HC53	HC61	HC64	HC67	HC70	HC72	HC74	SRS012969_HMP	SRS013951_HMP	SRS014287_HMP	SRS014459_HMP	SRS016095_HMP	SRS016438_HMP	SRS017247_HMP	SRS017916_HMP	SRS022071_HMP	SRS023346_HMP	SRS043667_HMP	SRS045528_HMP	SRS045645_HMP	SRS045739_HMP	SRS047014_HMP	SRS047044_HMP	SRS049959_HMP	SRS053649_HMP	SRS074964_HMP	SRS075078_HMP	SRS075341_HMP	SRS075963_HMP	SRS077335_HMP	SRS077753_HMP	SRS077849_HMP	SRS078242_HMP	SRS078419_HMP	SRS078665_HMP	SRS098571_HMP	SRS098717_HMP	SRS101376_HMP	SRS104197_HMP	SRS104400_HMP	SRS140492_HMP	SRS140513_HMP	SRS142712_HMP	SRS142890_HMP	SRS143991_HMP	SRS145497_HMP	SRS146813_HMP	SRS147445_HMP	SRS147919_HMP	SRS148424_HMP
_Bacterial_checkpoint_control	0.0005697318	0.001885488	0.0022963715	0.0036596523	0	0.00200005	0.0030717248	4.29E-05	0.0039788326	0.0039307322	0.0039449885	0.0064078603	0.0071320572	0.0204178861	0.0003230343	0	0	0	0	0	0	0	0	0	3.24E-05	0	1.33E-05	0	0	0	0	7.24E-06	0	0	8.38E-06	0	0	0	0	2.47E-06	2.66E-06	3.95E-05	0	0	5.76E-05	3.29E-05	0	0.0047814257	0.0049953338	0.0048826099	0.0021924659	0.0026793635	0.0034723514	0.003194582	0.0048500711	0.0032205793	0.0043329702	0.0036509578	0.0053277593	2.25E-05	0.0004478	1.35E-05	2.98E-05	4.31E-05	1.66E-06	4.91E-06	0.000136442	7.06E-05	2.63E-06	0	2.54E-05	2.15E-05	3.71E-06	8.79E-05	3.82E-05	1.16E-05	4.70E-06	3.85E-06	7.14E-05	2.02E-05	0.000239103	8.29E-05	8.79E-06	3.11E-05	1.48E-05	3.74E-05	0	4.40E-05	2.18E-05	1.19E-05	1.49E-05	5.74E-05	5.56E-05	1.23E-05	2.96E-06	1.10E-05	5.04E-05	9.54E-06	1.33E-05	0	5.02E-05	3.94E-05
_Tartronate-semialdehyde_related_area_(links_to_pyridoxine_and_aldorate_metabolism)	0.0025791833	0.0064944588	0.0030242457	0.0085342483	0.0051067567	0.00200005	0.0024460031	0.0079131721	0.0001473642	0.004025637	0.0024897046	0.0035599224	0.0001783014	0	0.0030310781	0	0	0	0.0797448166	0	0	0	0	0.000242023	3.24E-05	0.0003813128	0.0001798818	0	1.94E-05	0.0002152893	5.54E-05	0.0006536496	0.0002472387	4.98E-06	0.0001599342	7.45E-05	0.0002095623	0.0024115813	0.0001711668	0.0002304416	0.0007136224	0.0094428632	0.0004344275	0.0004612418	0.0001342851	0.0005324402	0.0004504884	0.0003608623	5.71E-05	0.0007079784	0.012548043	0	0.0001653501	5.41E-05	0.0004603457	0.0001391608	0.0010611356	0.0009039207	0.0001493764	7.61E-05	9.20E-05	0.000100986	4.40E-05	1.25E-05	2.66E-05	2.46E-06	7.68E-05	5.53E-05	2.63E-06	1.61E-05	6.65E-06	1.91E-06	5.76E-06	4.16E-05	7.24E-05	5.91E-05	9.44E-06	1.54E-05	2.66E-06	2.70E-05	0	5.49E-05	0	0.0123	1.19E-05	3.16E-05	9.77E-06	7.22E-05	0.000185772	2.70E-05	3.84E-05	4.07E-05	7.27E-05	0.000125514	9.87E-05	0.00024613	6.90E-05	8.83E-06	0.000102027	0.00013549	6.28E-05	9.94E-06
-	22.5203371117	21.2267545302	21.9950194677	23.7536750419	18.9155285251	18.963435921	19.7944553911	21.0417078004	21.9943567041	21.4673634163	22.3591020075	22.5195097677	22.4784637474	21.5770543031	23.0218360084	18.9842018547	20.0118088431	21.9711783598	21.6292887734	14.1556169429	22.5100967669	21.5274346065	21.594204327	20.3577674536	20.0502962949	20.1805660602	22.1139653869	20.0856653558	20.1620049582	19.9185002455	18.6664164231	21.1879845133	20.3880016346	20.05065625	19.2516944975	20.4663783197	20.3269688369	19.389057558	19.5587870425	20.3003549358	20.309591625	20.6998963815	19.042373806	20.7329878802	20.0048829033	22.5889253618	20.4394958798	21.4697369623	20.9125590307	22.3966982866	21.66909714	21.4011989605	20.6125102454	20.681280597	22.0140847667	20.3935908281	22.4105992357	21.9157978003	21.0718655645	23.4623	22.2788	24.0996	23.5011	24.0528	25.336	28.6788	19.7597	22.4411	29.3565	24.3515	24.7885	26.7363	26.9295	24.7998	24.8775	22.6639	25.2096	27.6301	24.9895	23.9757	22.648	26.287	23.251	24.2732	23.2818	23.7227	25.0871	24.3393	25.1042	24.2679	23.9745	23.3427	23.4125	26.2061	24.9386	23.7575	23.2565	25.708	24.6211	24.7587	28.2495	24.4071
A_bicyclomycin_resistance_protein_a_helicase_and_a_pseudouridine_synthase	0.0002724804	0.0220706849	0.0093463051	0.0046249632	0.0188439324	0.0069710076	0.0183023601	0.030795175	0	0.0188264902	0.0017062692	0	0	0	0.0003499538	0	0	0	0	0	0	0	0	0.001321919	0.0003992121	0.0014099324	0.0016677979	5.10E-05	0.0003109819	0.000383684	0.0002277532	0.0027167646	0.0004581801	5.48E-05	0.0010503976	0.0002121243	0.0010478116	0.0081733085	0.0002982452	0.0010859813	0.0015557169	0.0346363629	0.0031708213	0.001229697	0.0008920365	0.0021898872	0.001566991	0.0004811498	0.0004375197	0.0004801233	0.0232511855	0.0007965675	0.0024719835	0.001144274	0.0023955789	0.0004572427	0.0023606582	0.0025395448	0.0007643094	8.21E-06	5.36E-05	0	5.34E-05	3.21E-05	0.000114866	9.40E-06	0.000112506	8.44E-06	4.64E-06	0.000184243	0.000197113	1.35E-05	2.17E-05	0	3.92E-05	9.38E-06	4.72E-06	1.93E-05	2.33E-05	3.37E-05	0	0.000182123	0.000283515	5.64E-06	0.000195854	4.47E-05	0.00313	1.93E-05	0.000319712	6.17E-05	1.22E-05	6.85E-05	0.000738396	2.82E-05	0.000135043	0.00056057	2.10E-05	5.14E-06	4.96E-05	0	8.71E-05	1.48E-05
ABC_transporters	0.6287177684	0.7760846581	0.6570060387	1.5641328019	0.675241342	0.6796383044	0.836791735	0.8851506008	1.2017179715	0.6462945559	1.1859366639	0.9771274986	0.6418455228	0.8008348647	0.6477373717	1.0690214146	1.0796924404	0.4502027067	0.956937799	0.5524861878	0.449385052	2.4154589372	0.8134028224	0.9311523077	0.8166694219	0.6149848412	0.7891137256	0.7872704395	0.7755279127	0.7969842076	0.5708749017	0.644041339	0.7842337583	0.5247801971	1.0058588819	0.6946987509	1.1115729963	0.9822978221	0.7720690878	0.6394304632	1.0900406014	1.1485106119	0.6269501788	0.6624493693	0.4973164548	0.312679243	0.8923301038	0.9627892526	1.1990215483	0.6645883024	1.0162522444	1.1187507166	1.2984838231	1.30616634	0.7390536256	1.176696305	0.8861277541	0.7467670101	0.9200591029	0.225364	0.700858	0.544808	0.503687	0.355555	0.0309865	0.0365813	0.510318	0.389813	0.129734	0.250517	0.232562	0.100271	0.109196	0.363288	0.0833908	0.561472	0.0828354	0.113865	0.268671	0.258518	0.386608	0.100152	0.158537	0.202562	0.1894	0.232096	0.0774332	0.298088	0.280367	0.319558	0.27409	0.538758	0.372077	0.113827	0.0887755	0.382897	0.397846	0.0944538	0.37092	0.161999	0.301876	0.316947
Aceton_metabolism	0.0003813529	0	0.0001598301	0.0002460884	0	0	0	0	0	0	0.0006338456	0.0001941776	0	0	0.0004607753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acid_stress	0.0006894581	0.002513984	0.0161052191	0.0008528851	0	0.0001250031	0.0122868991	0.0005144824	0	0.001017366	0.005180288	0.0085438137	0	0.0884775063	0.0004666051	0	0	0	0	0	0	0.4830917874	0.0071392875	0.0010522738	0.0003564394	0	0.0040961037	0.0002039364	0.0012439276	0.0006394733	3.69E-05	0.018432306	0.0005498161	0.0002193133	0.0002095208	0.0008348669	0.0001257374	5.45E-05	0.0003112124	0.0049184442	0.0012646473	0.0008006707	0.0006222569	0.000295206	0.0054673207	0.000263548	4.52E-05	0.0033830842	0.0040803469	0.0033201747	0.0036711056	0.0022303891	0.0024595822	0.0023824001	0.0059187309	0.0026838161	0.002475983	0.003307027	0.0056016161	0.000147549	0.000182322	0.000127907	0.000248722	0.000276904	2.31E-05	0	0.000807416	0.000113422	3.12E-05	0.000143537	0.000358418	5.29E-05	0.000214279	0.000324988	3.82E-05	7.74E-05	2.83E-05	4.24E-05	4.62E-05	0.000599018	0.00302491	0.000219463	0.000114184	0.000128407	0.000223586	0.000563759	0.000127185	0.000226642	0.000100303	0.00036478	0.000160243	7.32E-05	0.000270467	0.000219104	5.04E-05	0.000294862	0.000181588	0.000136772	9.54E-05	9.01E-05	0.000570456	0.000128018
Adhesion	1.0227305661	0.2585512868	0.3084122126	0.1100824954	0.1313498873	0.1440836616	0.2466034281	0.3630502381	0.0742715421	0.2996129308	0.0657496428	0.0915256047	0.1704561664	0.1020894303	0.8388303	0.0511901715	0.0862316758	0.0491861921	0.0797448166	0	0	0	0.0785321625	0.0579634757	0.0427997253	0.0357248636	0.0329000514	0.0248037622	0.0351356326	0.0288509028	0.038293952	0.0702417481	0.0494730346	0.026827162	0.0546150866	0.0430764582	0.0515013395	0.0818986991	0.034700178	0.0394656604	0.0501643439	0.3100392748	0.0437999707	0.0395992494	0.0366885993	0.0383443014	0.0461791487	0.0944406754	0.1028356794	0.071591267	0.2787993024	0.073962501	0.0895636353	0.1003495811	0.0784414651	0.0835703399	0.0914526315	0.0967556742	0.098338652	0.0257819	0.0606615	0.0627352	0.0415376	0.0427557	0.0473736	0.0679872	0.0368512	0.0302124	0.0411522	0.0286267	0.0519005	0.0489887	0.0541876	0.0364169	0.0159126	0.030667	0.019305	0.00712716	0.0281853	0.0349907	0.0376936	0.0778605	0.0359181	0.026362	0.0343957	0.0342375	0.0118613	0.030413	0.0489979	0.0387576	0.0484905	0.0430137	0.0467027	0.0164062	0.0496309	0.0307372	0.044005	0.027461	0.0312227	0.0446611	0.01713	0.0377013
Alanine_serine_and_glycine	1.0882821645	0.5271625405	0.5667945303	0.9879240802	1.1400710899	0.5756703048	0.5214812985	0.5130180714	0.6567595157	0.5304105757	0.6572369226	0.6243813023	0.5551498591	0.5097105512	1.0963871677	0.9008823841	0.4972830178	0.5612602282	0.4486595276	0.138121547	0.7031355589	0.1035196687	0.4220075473	0.3797177594	0.3851948371	0.4270874745	0.3574388478	0.4997185811	0.3986612135	0.3969802021	0.5124960491	0.4027718587	0.3521468083	0.3456309537	0.4286741106	0.365207502	0.4147610924	0.3979416069	0.4256050836	0.3875970795	0.3862295347	0.3854189502	0.4850875889	0.403148895	0.4136273701	0.3734284979	0.3805168537	0.6027741602	0.6582397341	0.4474295503	0.5226315992	0.7323528921	0.7810394883	0.8012278773	0.4976352554	0.8549782354	0.5134275468	0.5371866371	0.5727895384	0.526185	0.455048	0.489489	0.520058	0.50815	0.446172	0.422509	0.866159	0.699362	0.381943	0.448781	0.552511	0.494783	0.457325	0.482846	0.444642	0.556955	0.491046	0.472184	0.571738	0.612172	0.70954	0.434399	0.765428	0.52186	0.606999	0.519182	0.640204	0.501383	0.492302	0.569736	0.5476	0.611696	0.578246	0.477753	0.530271	0.566713	0.545297	0.466915	0.499116	0.524289	0.393965	0.576356
alpha-proteobacterial_cluster_of_hypotheticals	0.0059579441	0.0080656988	0.0088092865	0.0111262735	0	0.0027667358	0.0020478165	0.0015521239	0.018125793	0.0031208332	0.0129586896	0.0122817323	0.0030905581	0	0.0063323693	0	0	0.003353604	0	0	0	0	0	0.000258684	0.0010227958	0.0014171259	0.0008175953	0.001845867	0.0006122456	0.0007783841	0.0019576225	0.0006098506	0.0002961509	0.0026178152	0.0006654779	0.0005396818	0.0008011268	0.0003199877	0.0008302701	0.0007111426	0.0011521357	0.0003233749	0.0021293454	0.0006802038	0.0017457059	0.0009202218	0.0007254867	0.0085885231	0.0107492615	0.0067740399	0.0081727018	0.0146958086	0.0164691543	0.0167219221	0.0087039009	0.0193296763	0.0100911044	0.009635354	0.0100516703	0.00384987	0.00157777	0.00203919	0.00212535	0.00603758	0.00257609	0.00280163	0.00405007	0.00557704	0.00410465	0.00295815	0.00387306	0.00375101	0.00336347	0.0019007	0.00252955	0.00576152	0.00468763	0.00388181	0.0046037	0.00338039	0.00535427	0.00300771	0.00466034	0.00359368	0.00414919	0.00389686	0.00360529	0.00352303	0.00336091	0.00306173	0.00338904	0.00412347	0.00305727	0.00320716	0.00318673	0.00362111	0.00295439	0.00361253	0.00353494	0.00334523	0.00404363	0.00439692
